         66953 function calls (63609 primitive calls) in 19.583 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.011    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1591(_log)
       15    0.000    0.000    0.011    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:598(_code)
      174    0.002    0.000    0.010    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:697(call_later)
       24    0.001    0.000    0.010    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2066(_apply_annotations)
        1    0.000    0.000    0.010    0.010 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pandas\core\indexes\datetimes.py:821(date_range)
        1    0.006    0.006    0.010    0.010 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pandas\core\arrays\datetimes.py:397(_generate_range)
      228    0.003    0.000    0.010    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:735(call_soon)
       38    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    39/31    0.000    0.000    0.009    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\typing.py:398(__getitem__)
        3    0.000    0.000    0.009    0.003 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\main.py:649(__get_pydantic_core_schema__)
       31    0.001    0.000    0.008    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\typing.py:479(Union)
        7    0.000    0.000    0.008    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:593(_frozen_get_del_attr)
        1    0.000    0.000    0.008    0.008 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:667(_model_schema)
    99/15    0.002    0.000    0.008    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:71(_compile)
        9    0.000    0.000    0.008    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1617(handle)
      174    0.003    0.000    0.008    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:719(call_at)
        9    0.000    0.000    0.008    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1671(callHandlers)
   120/14    0.000    0.000    0.008    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_core_utils.py:447(count_refs)
        9    0.000    0.000    0.008    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:954(handle)
6959/6937    0.005    0.000    0.008    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.008    0.008 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_model_construction.py:500(set_model_fields)
        9    0.000    0.000    0.008    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1086(emit)
        1    0.001    0.001    0.008    0.008 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_fields.py:72(collect_model_fields)
       60    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
        1    0.000    0.000    0.007    0.007 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:739(<dictcomp>)
       11    0.000    0.000    0.007    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:1108(_generate_md_field_schema)
        4    0.007    0.002    0.007    0.002 {built-in method builtins.compile}
       45    0.001    0.000    0.007    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:800(_generate_schema_from_property)
        6    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1334(_path_hooks)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:942(source_to_code)
       11    0.001    0.000    0.007    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:1261(_common_field_schema)
        1    0.000    0.000    0.007    0.007 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:780(new_event_loop)
      228    0.003    0.000    0.007    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:764(_call_soon)
      568    0.002    0.000    0.007    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\enum.py:358(__call__)
        1    0.000    0.000    0.007    0.007 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:667(new_event_loop)
        1    0.000    0.000    0.007    0.007 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\windows_events.py:307(__init__)
        1    0.000    0.000    0.007    0.007 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\proactor_events.py:623(__init__)
       26    0.000    0.000    0.007    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\typing.py:1114(__getitem__)
        1    0.000    0.000    0.007    0.007 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\applications.py:1255(include_router)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
        1    0.000    0.000    0.007    0.007 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\routing.py:1120(include_router)
       13    0.000    0.000    0.007    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2020(_annotated_schema)
      402    0.006    0.000    0.006    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:31(__init__)
        1    0.000    0.000    0.006    0.006 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\proactor_events.py:760(_make_self_pipe)
       35    0.000    0.000    0.006    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\typing.py:1123(copy_with)
        1    0.000    0.000    0.006    0.006 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\socket.py:615(socketpair)
        1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap_external>:1099(set_data)
        4    0.000    0.000    0.006    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\server.py:94(startup)
        1    0.000    0.000    0.006    0.006 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\loops\auto.py:1(auto_loop_setup)
        1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap_external>:185(_write_atomic)
        7    0.000    0.000    0.006    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:618(_cmp_fn)
        1    0.000    0.000    0.006    0.006 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\protocols\websockets\auto.py:1(<module>)
       13    0.005    0.000    0.006    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\fields.py:198(__init__)
      178    0.000    0.000    0.006    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.006    0.003 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:555(shutdown_default_executor)
       10    0.000    0.000    0.006    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\fields.py:333(from_annotated_attribute)
       26    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      568    0.005    0.000    0.005    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\enum.py:670(__new__)
        1    0.002    0.002    0.005    0.005 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pandas\core\indexes\base.py:5373(__getitem__)
       89    0.000    0.000    0.005    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\contextlib.py:130(__enter__)
       52    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       24    0.000    0.000    0.005    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2085(inner_handler)
      174    0.003    0.000    0.005    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:148(cancel)
      714    0.003    0.000    0.005    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\typing.py:968(__setattr__)
        9    0.005    0.001    0.005    0.001 {method 'write' of '_io.TextIOWrapper' objects}
       26    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       26    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        3    0.000    0.000    0.005    0.002 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\server.py:257(shutdown)
       30    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.005    0.005 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\config.py:176(__init__)
        1    0.005    0.005    0.005    0.005 {built-in method nt.replace}
        1    0.000    0.000    0.005    0.005 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\config.py:357(configure_logging)
      173    0.003    0.000    0.005    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\server.py:231(on_tick)
       53    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x00007FFF728EA920}
        1    0.000    0.000    0.004    0.004 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\h11\_connection.py:139(Connection)
       10    0.000    0.000    0.004    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\abc.py:105(__new__)
        6    0.000    0.000    0.004    0.001 <frozen zipimport>:64(__init__)
       84    0.001    0.000    0.004    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\typing_extensions.py:2989(_collect_type_vars)
        1    0.000    0.000    0.004    0.004 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\h11\_state.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\logging\config.py:808(dictConfig)
        1    0.000    0.000    0.004    0.004 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\logging\config.py:493(configure)
        1    0.000    0.000    0.004    0.004 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\routing.py:143(serialize_response)
     88/1    0.001    0.000    0.004    0.004 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\encoders.py:102(jsonable_encoder)
      174    0.001    0.000    0.004    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\events.py:103(__init__)
       92    0.000    0.000    0.004    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:2520(get_schema_or_ref)
   147/77    0.000    0.000    0.004    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\abc.py:121(__subclasscheck__)
       25    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
